rootfile	callNumber	pageNumber	multiPageSortOrder	title	author	imprintOrigin	bibId	holdingsId	lunaObjectId	lunaImageId	lunaURL	size4jpgURL	size5jpgURL	size6jpgURL	size7jpgURL	dateCreated	dateUpdated
143949	STC 17884 copy 1	leaf B4 verso (page 12) || leaf C1 recto (page 13)	13	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210656	1214964	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214964~210656	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143949.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143949.jp2&level=2&width=1681&height=1110	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143949.jp2&level=1&width=3363&height=2221	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143949.jp2&width=6726&height=4442	2016-12-06T16:36:25Z	2016-12-06T16:36:25Z
14395	STC 22313 copy 2	front endleaf 3v || A1r	5	[King Richard II] The life and death of King Richard the second. With new additions of the Parliament scene, and the deposing of King Richard.	Shakespeare, William, 1564-1616.	1634	163923	157499	108702	141650	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~141650~108702	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1-6-NA/1072/014395.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1-6-NA/1072/014395.jp2&level=2&width=1768&height=1255	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1-6-NA/1072/014395.jp2&level=1&width=3537&height=2511	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1-6-NA/1072/014395.jp2&width=7075&height=5024	2014-12-30T17:31:14Z	2014-12-30T17:31:14Z
143950	STC 17884 copy 1	leaf C1 verso (page 14) || leaf C2 recto (page 15)	14	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210655	1214965	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214965~210655	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143950.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143950.jp2&level=2&width=1674&height=1103	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143950.jp2&level=1&width=3349&height=2207	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143950.jp2&width=6698&height=4414	2016-12-06T16:36:25Z	2016-12-06T16:36:25Z
143951	STC 17884 copy 1	leaf C2 verso (page 16) || leaf C3 recto (page 17)	15	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210654	1214966	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214966~210654	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143951.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143951.jp2&level=2&width=1681&height=1103	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143951.jp2&level=1&width=3363&height=2207	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143951.jp2&width=6726&height=4414	2016-12-06T16:36:25Z	2016-12-06T16:36:25Z
143952	STC 17884 copy 1	leaf C3 verso (page 18) || leaf C4 recto (page 19)	16	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210653	1214967	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214967~210653	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143952.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143952.jp2&level=2&width=1688&height=1103	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143952.jp2&level=1&width=3376&height=2206	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143952.jp2&width=6753&height=4414	2016-12-06T16:36:25Z	2016-12-06T16:36:25Z
143953	STC 17884 copy 1	leaf C4 verso (page 20) || leaf D1 recto (page 21)	17	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210652	1214968	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214968~210652	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143953.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143953.jp2&level=2&width=1678&height=1096	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143953.jp2&level=1&width=3356&height=2193	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143953.jp2&width=6712&height=4386	2016-12-06T16:36:25Z	2016-12-06T16:36:25Z
143954	STC 17884 copy 1	leaf D1 verso (page 22) || leaf D2 recto (page 23)	18	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210651	1214969	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214969~210651	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143954.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143954.jp2&level=2&width=1686&height=1100	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143954.jp2&level=1&width=3373&height=2201	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143954.jp2&width=6747&height=4404	2016-12-06T16:36:25Z	2016-12-06T16:36:25Z
143955	STC 17884 copy 1	leaf D2 verso (page 24) || leaf D3 recto (page 25)	19	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210650	1214970	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214970~210650	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143955.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143955.jp2&level=2&width=1686&height=1100	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143955.jp2&level=1&width=3373&height=2201	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143955.jp2&width=6747&height=4404	2016-12-06T16:36:25Z	2016-12-06T16:36:26Z
143956	STC 17884 copy 1	leaf D3 verso (page 26) || leaf D4 recto (page 27)	20	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210649	1214971	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214971~210649	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143956.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143956.jp2&level=2&width=1679&height=1096	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143956.jp2&level=1&width=3359&height=2194	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143956.jp2&width=6719&height=4389	2016-12-06T16:36:26Z	2016-12-06T16:36:26Z
143957	STC 17884 copy 1	leaf D4 verso (page 28) || leaf E1 recto (page 29)	21	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210648	1214972	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214972~210648	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143957.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143957.jp2&level=2&width=1678&height=1100	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143957.jp2&level=1&width=3357&height=2201	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143957.jp2&width=6714&height=4402	2016-12-06T16:36:26Z	2016-12-06T16:36:26Z
